#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.177741388114 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.3565000000     -4.86426923      0.1517450138E+01
  -0.3564000000     -4.86154809      0.1512017147E+01
  -0.3563000000     -4.85882695      0.1506317154E+01
  -0.3562000000     -4.85610582      0.1500436608E+01
  -0.3561000000     -4.85338468      0.1494449689E+01
  -0.3560000000     -4.85066354      0.1488419395E+01
  -0.3559000000     -4.84794240      0.1482398709E+01
  -0.3558000000     -4.84522126      0.1476431755E+01
  -0.3557000000     -4.84250012      0.1470554922E+01
  -0.3556000000     -4.83977899      0.1464797904E+01
  -0.3555000000     -4.83705785      0.1459184655E+01
  -0.3554000000     -4.83433671      0.1453734246E+01
  -0.3553000000     -4.83161557      0.1448461619E+01
  -0.3552000000     -4.82889443      0.1443378258E+01
  -0.3551000000     -4.82617329      0.1438492760E+01
  -0.3550000000     -4.82345216      0.1433811335E+01
  -0.3549000000     -4.82073102      0.1429338227E+01
  -0.3548000000     -4.81800988      0.1425076077E+01
  -0.3547000000     -4.81528874      0.1421026228E+01
  -0.3546000000     -4.81256760      0.1417188981E+01
  -0.3545000000     -4.80984646      0.1413563809E+01
  -0.3544000000     -4.80712532      0.1410149533E+01
  -0.3543000000     -4.80440419      0.1406944477E+01
  -0.3542000000     -4.80168305      0.1403946582E+01
  -0.3541000000     -4.79896191      0.1401153511E+01
  -0.3540000000     -4.79624077      0.1398562727E+01
  -0.3539000000     -4.79351963      0.1396171561E+01
  -0.3538000000     -4.79079849      0.1393977261E+01
  -0.3537000000     -4.78807736      0.1391977035E+01
  -0.3536000000     -4.78535622      0.1390168083E+01
  -0.3535000000     -4.78263508      0.1388547620E+01
  -0.3534000000     -4.77991394      0.1387112896E+01
  -0.3533000000     -4.77719280      0.1385861203E+01
  -0.3532000000     -4.77447166      0.1384789887E+01
  -0.3531000000     -4.77175053      0.1383896352E+01
  -0.3530000000     -4.76902939      0.1383178060E+01
  -0.3529000000     -4.76630825      0.1382632529E+01
  -0.3528000000     -4.76358711      0.1382257328E+01
  -0.3527000000     -4.76086597      0.1382050078E+01
  -0.3526000000     -4.75814483      0.1382008437E+01
  -0.3525000000     -4.75542370      0.1382130100E+01
  -0.3524000000     -4.75270256      0.1382412786E+01
  -0.3523000000     -4.74998142      0.1382854229E+01
  -0.3522000000     -4.74726028      0.1383452171E+01
  -0.3521000000     -4.74453914      0.1384204352E+01
  -0.3520000000     -4.74181800      0.1385108496E+01
  -0.3519000000     -4.73909686      0.1386162307E+01
  -0.3518000000     -4.73637573      0.1387363452E+01
  -0.3517000000     -4.73365459      0.1388709558E+01
  -0.3516000000     -4.73093345      0.1390198196E+01
  -0.3515000000     -4.72821231      0.1391826876E+01
  -0.3514000000     -4.72549117      0.1393593036E+01
  -0.3513000000     -4.72277003      0.1395494031E+01
  -0.3512000000     -4.72004890      0.1397527129E+01
  -0.3511000000     -4.71732776      0.1399689499E+01
  -0.3510000000     -4.71460662      0.1401978207E+01
  -0.3509000000     -4.71188548      0.1404390206E+01
  -0.3508000000     -4.70916434      0.1406922331E+01
  -0.3507000000     -4.70644320      0.1409571296E+01
  -0.3506000000     -4.70372207      0.1412333686E+01
  -0.3505000000     -4.70100093      0.1415205953E+01
  -0.3504000000     -4.69827979      0.1418184419E+01
  -0.3503000000     -4.69555865      0.1421265264E+01
  -0.3502000000     -4.69283751      0.1424444534E+01
  -0.3501000000     -4.69011637      0.1427718135E+01
  -0.3500000000     -4.68739524      0.1431081836E+01
  -0.3499000000     -4.68467410      0.1434531270E+01
  -0.3498000000     -4.68195296      0.1438061937E+01
  -0.3497000000     -4.67923182      0.1441669208E+01
  -0.3496000000     -4.67651068      0.1445348330E+01
  -0.3495000000     -4.67378954      0.1449094428E+01
  -0.3494000000     -4.67106840      0.1452902518E+01
  -0.3493000000     -4.66834727      0.1456767509E+01
  -0.3492000000     -4.66562613      0.1460684216E+01
  -0.3491000000     -4.66290499      0.1464647365E+01
  -0.3490000000     -4.66018385      0.1468651609E+01
  -0.3489000000     -4.65746271      0.1472691534E+01
  -0.3488000000     -4.65474157      0.1476761672E+01
  -0.3487000000     -4.65202044      0.1480856516E+01
  -0.3486000000     -4.64929930      0.1484970532E+01
  -0.3485000000     -4.64657816      0.1489098171E+01
  -0.3484000000     -4.64385702      0.1493233884E+01
  -0.3483000000     -4.64113588      0.1497372139E+01
  -0.3482000000     -4.63841474      0.1501507432E+01
  -0.3481000000     -4.63569361      0.1505634302E+01
  -0.3480000000     -4.63297247      0.1509747349E+01
  -0.3479000000     -4.63025133      0.1513841246E+01
  -0.3478000000     -4.62753019      0.1517910753E+01
  -0.3477000000     -4.62480905      0.1521950734E+01
  -0.3476000000     -4.62208791      0.1525956168E+01
