#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.172517414142 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.3495000000     -4.81594111      0.1099265731E+01
  -0.3494000000     -4.81321997      0.1099919398E+01
  -0.3493000000     -4.81049883      0.1100638724E+01
  -0.3492000000     -4.80777769      0.1101423575E+01
  -0.3491000000     -4.80505655      0.1102273606E+01
  -0.3490000000     -4.80233541      0.1103188266E+01
  -0.3489000000     -4.79961427      0.1104166802E+01
  -0.3488000000     -4.79689314      0.1105208276E+01
  -0.3487000000     -4.79417200      0.1106311561E+01
  -0.3486000000     -4.79145086      0.1107475361E+01
  -0.3485000000     -4.78872972      0.1108698211E+01
  -0.3484000000     -4.78600858      0.1109978491E+01
  -0.3483000000     -4.78328744      0.1111314435E+01
  -0.3482000000     -4.78056631      0.1112704138E+01
  -0.3481000000     -4.77784517      0.1114145568E+01
  -0.3480000000     -4.77512403      0.1115636575E+01
  -0.3479000000     -4.77240289      0.1117174902E+01
  -0.3478000000     -4.76968175      0.1118758197E+01
  -0.3477000000     -4.76696061      0.1120384022E+01
  -0.3476000000     -4.76423948      0.1122049861E+01
